Department,Topic,Sub_Topic,question_name,question_url,question_answer,document
Giving,Giving,General,What will the impact of my gift be?,https://www.torontomu.ca/giving/faq/#accordion-content-1579812786006-what-will-the-impact-of-my-gift-be-,"Your gift will help enhance the experience of our students, and help them realize their potential. By giving to Toronto Metropolitan University you are creating opportunities for students, helping ensure future generations have the skills and training they need to make a positive impact in their communities and in Canada's economy.","What will the impact of my gift be?
Your gift will help enhance the experience of our students, and help them realize their potential. By giving to Toronto Metropolitan University you are creating opportunities for students, helping ensure future generations have the skills and training they need to make a positive impact in their communities and in Canada's economy."
Future Students,Accomodations,Academic Accomodation Support,"My accommodation letter says ""pending"" what does that mean?",https://www.torontomu.ca/accommodations/faq/#accordion-content-1702069285666-my-accommodation-letter-says--pending--what-does-that-mean-,Your Facilitator will then reset your accommodation plan so that you can send your updated accommodations to your instructor.,"My accommodation letter says ""pending"" what does that mean?
Your Facilitator will then reset your accommodation plan so that you can send your updated accommodations to your instructor."
Creative Industries,Current Students,Course Enrolment and Withdrawals,When do I enrol in courses for creative industries programs?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703033103014-when-do-i-enrol-in-courses-,"Your enrolment period for each term starts on your priority enrolment appointment date, which is assigned by year-level and program, and extends through until the last day to add courses for the term (usually around the second week of class). Please note that priority enrolment appointments are open only to students who successfully complete course intentions.","When do I enrol in courses for creative industries programs?
Your enrolment period for each term starts on your priority enrolment appointment date, which is assigned by year-level and program, and extends through until the last day to add courses for the term (usually around the second week of class). Please note that priority enrolment appointments are open only to students who successfully complete course intentions."
Ted Rogers School of Management,Business Career Hub,Co-op,What is required to be accepted to the co-op program?,https://www.torontomu.ca/tedrogersschool/business-career-hub/co-op/faq/#accordion-content-1698697043038-what-is-required-to-be-accepted-to-the-co-op-program-,"Your eligibility for advanced entry from highschool into Ted Rogers Co-op is based on your high school average. The higher your average, the more likely you will be offered advanced standing.

If you are applying to the Ted Rogers Co-op Program once you have started at the Ted Rogers School of Management, you are encouraged to refer to the Undergraduate Calendar and All About Co-op resources.","What is required to be accepted to the co-op program?
Your eligibility for advanced entry from highschool into Ted Rogers Co-op is based on your high school average. The higher your average, the more likely you will be offered advanced standing.

If you are applying to the Ted Rogers Co-op Program once you have started at the Ted Rogers School of Management, you are encouraged to refer to the Undergraduate Calendar and All About Co-op resources."
Admissions,Academic,Transfer Credits,I am a newly admitted student for the upcoming fall term and I applied for transfer credits using the self-service application. Can my No Rule applications be evaluated before I accept my Offer of Admission?,https://www.torontomu.ca/transfer-credits/definitions-faqs/#accordion-content-1587472770222-i-am-a-newly-admitted-student-for-the-upcoming-fall-term-and-i-applied-for-transfer-credits-using-the-self-service-application--can-my-no-rule-applications-be-evaluated-before-i-accept-my-offer-of-admission-,"Your applications are processed after May 1. No Rule applications are only evaluated after you accept your Offer of Admission.

We recommend collecting your course outlines and uploading them for evaluation after your applications are processed.","I am a newly admitted student for the upcoming fall term and I applied for transfer credits using the self-service application. Can my No Rule applications be evaluated before I accept my Offer of Admission?
Your applications are processed after May 1. No Rule applications are only evaluated after you accept your Offer of Admission.

We recommend collecting your course outlines and uploading them for evaluation after your applications are processed."
Ted Rogers School of Management,Business Management,Current Students,How do I view my advisement report  for Business Management program?,https://www.torontomu.ca/tedrogersschool/business-management/faqs/#accordion-content-1551211904939-how-do-i-view-my-advisement-report--,"Your Advisement Report is accessible through your RAMMS account under My Academics. To get more support on how to run this report please visit MyServiceHub Support for step-by-step instructions.

The Advisement Report is a tool for Full-time Undergraduate degree students that shows all of the courses you have taken, been granted transfer credit for, or are enrolled in as well as those courses needed in order for you to graduate.

We strongly recommend running an Advisement Report before and after adding or dropping courses and before applying to graduate.","How do I view my advisement report  for Business Management program?
Your Advisement Report is accessible through your RAMMS account under My Academics. To get more support on how to run this report please visit MyServiceHub Support for step-by-step instructions.

The Advisement Report is a tool for Full-time Undergraduate degree students that shows all of the courses you have taken, been granted transfer credit for, or are enrolled in as well as those courses needed in order for you to graduate.

We strongly recommend running an Advisement Report before and after adding or dropping courses and before applying to graduate."
Computing and Communications Services,Google Workspace,Google Mail ,Inbox Space,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637245683-inbox-space,"Your account has unlimited storage. You'll probably never run out of space. In fact, a heavy email user who sends and receives lots of file attachments and archives all messages might use up to 5% of this space a year (usually less), so it would take decades to use up all of the available space. Also note that Google Apps restricts the size of file attachments to 20 MB, so you don't have to worry about a few large files using up your storage space.","Inbox Space
Your account has unlimited storage. You'll probably never run out of space. In fact, a heavy email user who sends and receives lots of file attachments and archives all messages might use up to 5% of this space a year (usually less), so it would take decades to use up all of the available space. Also note that Google Apps restricts the size of file attachments to 20 MB, so you don't have to worry about a few large files using up your storage space."
Computing and Communications Services,Google Workspace,Google Mail ,How much space do I have for mail messages? Can I run out of space?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497289176449-how-much-space-do-i-have-for-mail-messages--can-i-run-out-of-space-,"Your account has unlimited storage. You'll probably never run out of space. In fact, a heavy email user who sends and receives lots of file attachments and archives all messages might use up to 5% of this space a year (usually less), so it would take decades to use up all of the available space. Also note that Google Apps restricts the size of file attachments to 20 MB, so you don't have to worry about a few large files using up your storage space.","How much space do I have for mail messages? Can I run out of space?
Your account has unlimited storage. You'll probably never run out of space. In fact, a heavy email user who sends and receives lots of file attachments and archives all messages might use up to 5% of this space a year (usually less), so it would take decades to use up all of the available space. Also note that Google Apps restricts the size of file attachments to 20 MB, so you don't have to worry about a few large files using up your storage space."
Creative Industries,Current Students,Academic Standing and Appeals,What is my Academic Standing?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703030055302-what-is-my-academic-standing-,"Your Academic Standing is calculated at the end of each academic term when you are enrolled in courses. It is an indication of your overall academic performance by term, in your program of study. 

Your Academic Standing determines whether you can continue in your studies and your eligibility to register in courses may be impacted by your Academic Standing. It is critical that you check your Academic Standing at the end of each term in case your standing is not Clear. A Clear Academic Standing is required in order to graduate.To learn more about viewing your Academic Standing, understanding the consequences of your Academic Standing, and next steps, visit Academic Standings.","What is my Academic Standing?
Your Academic Standing is calculated at the end of each academic term when you are enrolled in courses. It is an indication of your overall academic performance by term, in your program of study. 

Your Academic Standing determines whether you can continue in your studies and your eligibility to register in courses may be impacted by your Academic Standing. It is critical that you check your Academic Standing at the end of each term in case your standing is not Clear. A Clear Academic Standing is required in order to graduate.To learn more about viewing your Academic Standing, understanding the consequences of your Academic Standing, and next steps, visit Academic Standings."
Daphne Cockwell Scholl of Nursing,Graduate,Current Students,When is the deadline for dropping a course?,https://www.torontomu.ca/nursing/graduate/student-resources/graduate-faqs/#accordion-content-1602696766550-when-is-the-deadline-for-dropping-a-course-,You'll find complete information on important academic dates on the School of Graduate Studies' site.,"When is the deadline for dropping a course?
You'll find complete information on important academic dates on the School of Graduate Studies' site."
Computing and Communications Services,Google Workspace,Google Mail ,Google App Passwords on Web Browsers (e.g. Chrome),https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497625210860-google-app-passwords-on-web-browsers--e-g--chrome-,You you will log in to Google Apps at Toronto Metropolitan University through my.torontomu.ca using your my.torontomu users Id ans password. The only time you will have to set up a different password is if you choose to access your email account using a desktop client (IMAP or POP) or through your mobile device.,"Google App Passwords on Web Browsers (e.g. Chrome)
You you will log in to Google Apps at Toronto Metropolitan University through my.torontomu.ca using your my.torontomu users Id ans password. The only time you will have to set up a different password is if you choose to access your email account using a desktop client (IMAP or POP) or through your mobile device."
Computing and Communications Services,Google Workspace,General,"What is my password for Google apps if I'm using a web browser such as Chrome, Internet Explorer, Firefox or Safari to log in?",https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495549130148-what-is-my-password-for-google-apps-if-i-m-using-a-web-browser-such-as-chrome--internet-explorer--firefox-or-safari-to-log-in-,You you will log in to Google Apps at Toronto Metropolitan University through my.torontomu.ca using your my.torontomu users Id ans password. The only time you will have to set up a different password is if you choose to access your email account using a desktop client (IMAP or POP) or through your mobile device.,"What is my password for Google apps if I'm using a web browser such as Chrome, Internet Explorer, Firefox or Safari to log in?
You you will log in to Google Apps at Toronto Metropolitan University through my.torontomu.ca using your my.torontomu users Id ans password. The only time you will have to set up a different password is if you choose to access your email account using a desktop client (IMAP or POP) or through your mobile device."
School of Social Work,Graduate,Master of Social Work,Who sets up the field placement  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805867-who-sets-up-the-field-placement-,You will work together with the field placement office to set up your field placement.,"Who sets up the field placement  for Master of Social Work program?
You will work together with the field placement office to set up your field placement."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Collaborative Degree Nursing Program Placement,How and when will I hear about my placement?,https://www.torontomu.ca/nursing/central-placement-office/faqs/collaborative-program-placement-frequently-asked-questions/#accordion-content-1620058398770-how-and-when-will-i-hear-about-my-placement-,"You will receive placement information via HSPnet
(external link, opens in new window)
. We strive to confirm all placements, via HSPNet, within two weeks of your nursing practice course start date. Make sure to check HSPNet frequently for placement updates, it is your responsibility to do so.","How and when will I hear about my placement?
You will receive placement information via HSPnet
(external link, opens in new window)
. We strive to confirm all placements, via HSPNet, within two weeks of your nursing practice course start date. Make sure to check HSPNet frequently for placement updates, it is your responsibility to do so."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Post Diploma Degree Nursing Program Placement,How and when will I hear about my placement?,https://www.torontomu.ca/nursing/central-placement-office/faqs/post-diploma-program-placement-frequently-asked-questions/#accordion-content-1620293107051-how-and-when-will-i-hear-about-my-placement-,"You will receive placement information via HSPnet
(external link, opens in new window)
. We strive to confirm all placements, via HSPNet, within two weeks of your nursing practice course start date. Make sure to check HSPNet frequently for placement updates, it is your responsibility to do so.","How and when will I hear about my placement?
You will receive placement information via HSPnet
(external link, opens in new window)
. We strive to confirm all placements, via HSPNet, within two weeks of your nursing practice course start date. Make sure to check HSPNet frequently for placement updates, it is your responsibility to do so."
School of Occupational and Public Health,Programs,Admissions,How will I know that I have been accepted into the occupational public health programs?,https://www.torontomu.ca/occupational-public-health/programs/occupational-public-health/occupational-public-health-faqs/#accordion-content-1665751509014-how-will-i-know-that-i-have-been-accepted-into-the-program-,You will receive a letter of offer via email if you have been accepted to the program. Please check your email regularly once you submit your application.,"How will I know that I have been accepted into the occupational public health programs?
You will receive a letter of offer via email if you have been accepted to the program. Please check your email regularly once you submit your application."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Post Diploma Degree Nursing Program Placement,Can I choose my own placement assignment?,https://www.torontomu.ca/nursing/central-placement-office/faqs/post-diploma-program-placement-frequently-asked-questions/#accordion-content-1620292826190-can-i-choose-my-own-placement-assignment-,"You will have the opportunity to rank your placement choices using the Student Site Selector in HSPnet. In addition, you will have the opportunity to complete a Placement Information Record (PIR) where you can indicate an area of interest for your placement, such as community health, gerontology or public health and provide other details..The CPO collaborates with course leads and placement partners to ensure that you receive quality placements in various diverse settings to successfully meet course objectives and competencies.","Can I choose my own placement assignment?
You will have the opportunity to rank your placement choices using the Student Site Selector in HSPnet. In addition, you will have the opportunity to complete a Placement Information Record (PIR) where you can indicate an area of interest for your placement, such as community health, gerontology or public health and provide other details..The CPO collaborates with course leads and placement partners to ensure that you receive quality placements in various diverse settings to successfully meet course objectives and competencies."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Collaborative Degree Nursing Program Placement,Can I choose my own placement assignment?,https://www.torontomu.ca/nursing/central-placement-office/faqs/collaborative-program-placement-frequently-asked-questions/#accordion-content-1620054355800-can-i-choose-my-own-placement-assignment-,"You will have the opportunity to rank your placement choices using the Student Site Selector in HSPnet. In addition, students in Year 3 and 4 will have the opportunity to complete a Placement Information Record (PIR) where you can indicate an area of interest for your placement, such as community health, gerontology or public health and provide other details. The CPO collaborates with course leads and placement partners to ensure that you receive quality placements in various diverse settings to successfully meet course objectives and competencies.","Can I choose my own placement assignment?
You will have the opportunity to rank your placement choices using the Student Site Selector in HSPnet. In addition, students in Year 3 and 4 will have the opportunity to complete a Placement Information Record (PIR) where you can indicate an area of interest for your placement, such as community health, gerontology or public health and provide other details. The CPO collaborates with course leads and placement partners to ensure that you receive quality placements in various diverse settings to successfully meet course objectives and competencies."
Graduation,Convocation,Convocation,I have an accommodation request for myself or my guest. What should I do?,https://www.torontomu.ca/convocation/faq/,"You will have an opportunity to make an accommodation request when you register for your convocation ceremony. Accessible seating for guests is provided on the third floor of the MAC. 

All ceremonies have live ASL interpreters and live-captioning on screen in the Convocation Arena.

For more information contact the Ceremonials Office at convocation@torontomu.ca.","I have an accommodation request for myself or my guest. What should I do?
You will have an opportunity to make an accommodation request when you register for your convocation ceremony. Accessible seating for guests is provided on the third floor of the MAC. 

All ceremonies have live ASL interpreters and live-captioning on screen in the Convocation Arena.

For more information contact the Ceremonials Office at convocation@torontomu.ca."
Graduation,Convocation,Convocation,What happens during the ceremony?,https://www.torontomu.ca/convocation/faq/,"You will be guided through your convocation ceremony by marshals. They will seat you, line you up before crossing the stage, and answer your questions along the way. 

The most important things to remember are: dont lose your namecard and have fun!

Convocation ceremonies are typically two hours.","What happens during the ceremony?
You will be guided through your convocation ceremony by marshals. They will seat you, line you up before crossing the stage, and answer your questions along the way. 

The most important things to remember are: dont lose your namecard and have fun!

Convocation ceremonies are typically two hours."
Admissions,Academic,Transfer Credits,Why am I not able to upload my course outlines for No Rule courses?,https://www.torontomu.ca/transfer-credits/definitions-faqs/#accordion-content-1623263750104-why-am-i-not-able-to-upload-my-course-outlines-for-no-rule-courses-,"You will be able to upload your course outlines for any No Rule courses only after we have officially processed your applications. For newly admitted fall students, transfer credit processing will start in May. Unfortunately we do not accept course outlines submitted via email, however, once we have officially processed your applications, you will receive an acknowledgment email with instructions on how to upload course outlines.","Why am I not able to upload my course outlines for No Rule courses?
You will be able to upload your course outlines for any No Rule courses only after we have officially processed your applications. For newly admitted fall students, transfer credit processing will start in May. Unfortunately we do not accept course outlines submitted via email, however, once we have officially processed your applications, you will receive an acknowledgment email with instructions on how to upload course outlines."
Future Students,Undergraduate,Admissions,Should I upload final or interim/midterm results?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692983860415-should-i-upload-final-or-interim-midterm-results-,"You should upload all final and interim/midterm results that are available to you at the time of upload (shortly after applying for admission). Your transcripts should be a complete academic record with the institution's name, your name, names and numbers of courses, credits, the grading scheme and the grades you have received, as well as courses you are enrolled in (if available).","Should I upload final or interim/midterm results?
You should upload all final and interim/midterm results that are available to you at the time of upload (shortly after applying for admission). Your transcripts should be a complete academic record with the institution's name, your name, names and numbers of courses, credits, the grading scheme and the grades you have received, as well as courses you are enrolled in (if available)."
Future Students,Scholarships and Awards,Scholarships and Awards,When and how should I contact my referee?,https://www.torontomu.ca/current-students/scholarships-awards/faq/#accordion-content-1695407017312-when-and-how-should-i-contact-my-referee-,"You should contact your referee by email or in-person meeting three to four weeks before the letters of recommendation are due. This will give you time to connect with your referee and give them information about:

The award you are applying for
Why you are applying for it
Your goals and accomplishments
Your resum' or curriculum vitae (CV)
Your community involvement
Any other details
Make sure that your referee knows the deadline to submit the letter of recommendation and how they will be submitting it.

Once you have connected with them, you can submit the letter of recommendation request via the award application in AwardSpring.

You can enter your referee's name and contact information, as well as a message to the recipient. There is a template email already set up in the text box, but we encourage you to personalize your request. When you click Send Request, an email will be sent directly to your referee asking for their support. Your referee can be someone outside of TMU (i.e. they do not need a TMU email address to complete the request). ","When and how should I contact my referee?
You should contact your referee by email or in-person meeting three to four weeks before the letters of recommendation are due. This will give you time to connect with your referee and give them information about:

The award you are applying for
Why you are applying for it
Your goals and accomplishments
Your resum' or curriculum vitae (CV)
Your community involvement
Any other details
Make sure that your referee knows the deadline to submit the letter of recommendation and how they will be submitting it.

Once you have connected with them, you can submit the letter of recommendation request via the award application in AwardSpring.

You can enter your referee's name and contact information, as well as a message to the recipient. There is a template email already set up in the text box, but we encourage you to personalize your request. When you click Send Request, an email will be sent directly to your referee asking for their support. Your referee can be someone outside of TMU (i.e. they do not need a TMU email address to complete the request). "
Daphne Cockwell Scholl of Nursing,Central Placement Office,Post Diploma Degree Nursing Program Placement,How long can I expect to travel to my placement?,https://www.torontomu.ca/nursing/central-placement-office/faqs/post-diploma-program-placement-frequently-asked-questions/#accordion-content-1620295053768-how-long-can-i-expect-to-travel-to-my-placement-,"You should consider travel time when ranking choices in Student Site Selector in HSPnet
(external link, opens in new window)
. In some cases, you should expect to spend up to 90 minutes commuting to your placement. Make sure to plan your route and travel accordingly to ensure you arrive on time for your assigned shifts.","How long can I expect to travel to my placement?
You should consider travel time when ranking choices in Student Site Selector in HSPnet
(external link, opens in new window)
. In some cases, you should expect to spend up to 90 minutes commuting to your placement. Make sure to plan your route and travel accordingly to ensure you arrive on time for your assigned shifts."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Collaborative Degree Nursing Program Placement,How long may I be expected to commute to my placement?,https://www.torontomu.ca/nursing/central-placement-office/faqs/collaborative-program-placement-frequently-asked-questions/#accordion-content-1620058513574-how-long-may-i-be-expected-to-commute-to-my-placement-,"You should consider travel time when ranking choices in Site Selector in HSPnet
(external link, opens in new window)
. In some cases, you should expect to spend up to 90 minutes commuting to your placement. Make sure to plan your route and travel accordingly to ensure you arrive on time for your assigned shifts.","How long may I be expected to commute to my placement?
You should consider travel time when ranking choices in Site Selector in HSPnet
(external link, opens in new window)
. In some cases, you should expect to spend up to 90 minutes commuting to your placement. Make sure to plan your route and travel accordingly to ensure you arrive on time for your assigned shifts."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q11: What should be my e-mail protocol and retention in regard to correspondence with students?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752432496-q11--what-should-be-my-e-mail-protocol-and-retention-in-regard-to-correspondence-with-students-,"You should be careful about the content of e-mails as they may be retained not only by you but by others, and they can be requested as part of an FOI request. Generally, the 'reply all' response should be avoided unless it is necessary. You can never be assured of what is retained by others; so, even if you have deleted an email, that's no guarantee it will not end up being released as a result of an FOI request.","Q11: What should be my e-mail protocol and retention in regard to correspondence with students?
You should be careful about the content of e-mails as they may be retained not only by you but by others, and they can be requested as part of an FOI request. Generally, the 'reply all' response should be avoided unless it is necessary. You can never be assured of what is retained by others; so, even if you have deleted an email, that's no guarantee it will not end up being released as a result of an FOI request."
Future Students,Accomodations,Academic Accomodation Support,Do I need to send my accommodation plan or are they sent automatically?,https://www.torontomu.ca/accommodations/faq/#accordion-content-1702068595800-do-i-need-to-send-my-accommodation-plan-or-are-they-sent-automatically-,You need to send your accommodation plans to your instructors every semester that you are enrolled in courses. Visit the AAS Student Portal to send your accommodation plan.,"Do I need to send my accommodation plan or are they sent automatically?
You need to send your accommodation plans to your instructors every semester that you are enrolled in courses. Visit the AAS Student Portal to send your accommodation plan."
Daphne Cockwell Scholl of Nursing,Undergraduate,Collaborative Nursing Degree Program (BScN),"I missed class, test, assignment or placement day because I was sick. What should I do?",https://www.torontomu.ca/nursing/undergraduate/faqs/#accordion-content-1602696760989-i-missed-class--test--assignment-or-placement-day-because-i-was-sick--what-should-i-do-----,"You must submit a
(PDF file)
Student Medical Certificate and Academic Consideration Document Submission form [PDF] within three business days of the missed activity. The medical certificate must be completed and stamped by a physician. Submit your completed forms to a student affairs coordinator.","I missed class, test, assignment or placement day because I was sick. What should I do?
You must submit a
(PDF file)
Student Medical Certificate and Academic Consideration Document Submission form [PDF] within three business days of the missed activity. The medical certificate must be completed and stamped by a physician. Submit your completed forms to a student affairs coordinator."
Future Students,Graduate and Postdoctoral Studies,Admissions,3. How do I apply to a graduate program at Toronto Metropolitan University (formerly Ryerson University)?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444283048-3--how-do-i-apply-to-a-graduate-program-at-toronto-metropolitan-university--formerly-ryerson-university--,You must apply online.,"3. How do I apply to a graduate program at Toronto Metropolitan University (formerly Ryerson University)?
You must apply online."
Creative Industries,Current Students,Class Schedules,How do I access my class schedule for creative industries programs?,https://www.torontomu.ca/creativeindustries/academic-advising/faqs/#accordion-content-1703033103003-how-do-i-access-my-class-schedule-,"You may view your schedule on MyServiceHub by selecting ""Manage Classes"", and then ""View My Classes"" or ""My Weekly Schedule"".

Make sure to click the Next Week >> button to view your full weekly schedule. .You can adjust your course schedules during your course enrollment period.","How do I access my class schedule for creative industries programs?
You may view your schedule on MyServiceHub by selecting ""Manage Classes"", and then ""View My Classes"" or ""My Weekly Schedule"".

Make sure to click the Next Week >> button to view your full weekly schedule. .You can adjust your course schedules during your course enrollment period."
