Department,Sub_Department,Topic,question_name,question_url,question_answer,
Centre of Excellence in Learning and Teaching,Curriculum Quality,Curriculum Mapping,Mapping the curriculum for Curricular Modifications,https://www.torontomu.ca/curriculumquality/resources/curriculum-mapping/#!accordion-1598554159422-mapping-the-curriculum-for-curricular-modifications-,"Curriculum mapping should be used when planning for and designing major curriculum modifications.  Curriculum Insights (CI) can be used to map and assess potential changes to a program’s curriculum.

Major modifications should be made following a program’s Periodic Program Review (PPR). All modifications must follow the guidelines for the development, review and approval of undergraduate curriculum modifications, and meet the requirements outlined in Policy 127.

Please contact the Vice-Provost Academic and the Calendar Office if your program is planning significant curricular modifications. Curriculum Specialists are available to provide resources and support.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Curriculum Mapping,Mapping the curriculum for new program development,https://www.torontomu.ca/curriculumquality/resources/curriculum-mapping/#!accordion-1598554173562-mapping-the-curriculum-for-new-program-development,"When designing a new program, it is useful to map the curriculum to ensure that the intended program learning outcomes are integrated effectively throughout the curriculum.  Curriculum Insights (CI) can be used to map and design new program curriculum.

For more information on new program development, see the guidelines for developing new programs, and related policy:

Undergraduate Guidelines
Graduate Guidelines
Policy 112: Development of New Graduate and Undergraduate Programs
Please contact the Vice-Provost Academic for undergraduate programs or the Vice-Provost and Dean, YSGS for graduate programs if you are interested in developing a new program. Curriculum Specialists are available to provide resources and support.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,What is the purpose of the PPR and how will it be used?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555831284-what-is-the-purpose-of-the-ppr-and-how-will-it-be-used-,"The PPR is intended to engage programs in reflection, analysis, and evaluation of the current state of the program curriculum, with the goal of continuous improvement. The program-wide lens supports curricular analysis and helps to identify:

program strengths 
areas for enhancement
program-specific evidence and metrics
This information informs and supports future curriculum modifications, thereby improving the quality of the learning experience for students. The PRR self study is, therefore, both an analysis of a program’s current state and development since the last review, as well as a planning tool in a forward-facing document meant to guide future development.

More broadly, the objective of PPR is to examine the quality of degree programs to ensure that they achieve and maintain the highest possible standards of academic excellence and continue to satisfy societal need.  Although the PPR process and requirements are guided by Ryerson’s IQAP, the creation of the PPR self-study is program-led and involves the contributions of faculty, staff, students, and program stakeholders. ",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,Do all programs have to complete a PPR?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555848944-do-all-programs-have-to-complete-a-ppr--,"Yes. As a part of Toronto Metropolitan Universityâ€™s IQAP, all degree programs complete a Periodic Program Review.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,When is my program scheduled to begin its PPR?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555865083-when-is-my-program-scheduled-to-begin-its-ppr-,"Undergraduate and graduate programs are reviewed on an eight year cycle. Part-time programs are reviewed at the same time as full-time programs. The
(PDF file)
undergraduate PPR schedule
(opens in new window)
and graduate PPR schedule
(opens in new window)
list the year in which each program is expected to start its next review.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,What is the timeline for completing a PPR?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555881818-what-is-the-timeline-for-completing-a-ppr--,"The two stages of program review should take approximately 18-20 months to complete.

Stage 1, the preparation of a self-study document by the program, takes approximately 12 months. To facilitate timely completion, the Office of the Vice Provost Academic provides resources and support to programs throughout the PPR process.

Stage 2, which involves reviews, approvals, and a visit from a Peer-review team, takes roughly an additional 8 months.

The undergraduate PPR manual includes a recommended timeline to help programs plan and schedule accordingly for their review. This timeline is mapped to an October start-date, but can be used as a roadmap to schedule PPR sequencing whenever the program chooses to begin its PPR.

Contact your Curriculum Specialist for more information.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,What if the program is also scheduled to complete a professional accreditation review?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555893505-what-if-the-program-is-also-scheduled-to-complete-a-professional-accreditation-review--,"PPRs may be coordinated with any professional accreditation review, if feasible, and accreditation review information can be used to supplement the PPR. However, a self-study and appendices, separate from an accreditation review report, are required since PPRs and accreditation reviews have different requirements, purposes, and goals.

The Vice-Provost Academic may require a separate Peer Review Team (PRT) when the accrediting body’s assessment does not fully cover all areas required by the University’s PPR process. The PPR PRT report must also be a separate document from the Accreditation PRT Report.

The Curriculum Quality team is available to work with accredited programs to identify areas of overlap and help make the PPR and accreditation complimentary processes. Professionally accredited undergraduate programs should consult the Vice-Provost Academic for further guidance and assistance.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,Who participates in course mapping?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1676495906316-who-participates-in-course-mapping-,"The PPR process should engage all teaching members of the program in the course mapping. Once the Learning Outcomes have been established by the core PPR team of the school/department, all relevant courses to the degree should be mapped accordingly. Many programs at TMU rely on CUPE 1 contract lecturers for the delivery of compulsory courses. As the PPR process offers programs the opportunity to reflect on current practices, it is therefore important to include course perspectives as taught by CUPE 1 contract lecturers.

Please note that CUPE 1 contract lecturers participating in the course mapping process are to be remunerated as follows: a minimum of 2 hours at $100.00/hour. Please note that CUPE 1 contract lecturers, either with a teaching contract during this process, or not, are to be invited into the process and paid according to the above guidelines. The mapping work is considered out-of-scope as per Articles 17.2 and 17.3 of the Unit 1 collective agreement.

The payment can be processed via a personnel action form. The rationale for the payment must be included on the form.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,Who is involved in the PPR self-study?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555906747-who-is-involved-in-the-ppr-self-study-,"The PPR is usually led by a small team (made up of faculty, plus administrative support) who are responsible for data collection, analysis, and writing the self-study. However, a successful and effective program review depends on active involvement and support from a range of contributors, including the Program Director/Chair or Director of the School/Department, Curriculum Committee, faculty/instructors, students, and the Faculty Dean.

The Office of the Vice-Provost Academic advises programs throughout the review process to ensure that policy requirements are met. Each program is assigned a Curriculum Specialist to provide personalized support and guidance throughout the PPR process.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,What are the requirements for the PPR?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555923395-what-are-the-requirements-for-the-ppr--,"The PPR manual outlines all requirements, including detailed information on the format of the self-study, the required appendices, and PRT composition and site-visit. The manual is updated regularly as requirements evolve, so please use the most recent version (see link below) when beginning your PPR.

Undergraduate Periodic Program Review Manual 

Graduate Periodic Program Review Manual

The Curriculum Quality Team is available to answer any questions regarding PPR requirements, and provide guidance and support along the way.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,Who will review the self-study?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598555948199-who-will-review-the-self-study-,"There are various stages of review and feedback for the PPR Self-Study and appendices.

Undergraduate - Before completion, undergraduate programs are encouraged to share a final draft of the PPR self-study with program faculty for final review and input. Once the self-study is complete, then the following reviews and approvals are required:Graduate - Graduate programs may also share a final draft of the PPR self-study with program faculty before submitting the completed self-study and recommendations for review.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,What are the characteristics of an effective PPR Self-Study?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598556013525-what-are-the-characteristics-of-an-effective-ppr-self-study-,"An effective self-study provides a reflective, self-critical and analytical snapshot of the current program, with evidence-informed recommendations for future changes. The Quality Council provides a useful overview of self-study best practices
(external link, opens in new window)
for program review.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,Is there a template for the self-study report?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598556028988-is-there-a-template-for-the-self-study-report--,"Yes. Both the undergraduate and graduate PPR manuals include templates for the self-study report, with select samples for appendices.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,PPR,Are there examples of completed PPRs?,https://www.torontomu.ca/curriculumquality/resources/faqs/#accordion-content-1598556043532-are-there-examples-of-completed-pprs-,"Yes, though completed PPRs would have followed a previous template version for the self-study report, which may not conform to current requirements. Please contact the Director, Curriculum Quality Assurance for relevant examples and additional resources.",
