Department,Sub_Department,Topic,question_name,question_url,question_answer
School of Urban and Regional Planning,Urban Development,Admissions,What are the admission requirements for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587402-what-are-the-admission-requirements-,"The Urban Development (MPl) program is challenging and intensive. We enroll approximately 30 students every year, selected from a highly competitive applicant pool.

International applicants are asked to contact the Urban Development office directly, to discuss eligibility, prior to starting their application.

To be considered for admission, you must meet the minimum program requirements:

Two-year Regular Stream
The minimum grade requirement for admission consideration to a master's program is a 3.0/4.33 (B or equivalent) in the last two years of study within a four year undergraduate (or equivalent) bachelor's degree. (See: Admission Requirements).

A significant majority of our students do not have a previous degree in urban planning.

Applicants with a professionally accredited undergraduate bachelor degree in planning will not be accepted into the two year regular stream program as it is a first professional degree.

All applicants are expected to have passed a university-level course in statistics.

One-year Accelerated Stream
This program is primarily designed for applicants with a professionally-accredited bachelor's degree in Planning, with a minimum GPA of 3.00/4.33 (B) in the last two years of study and significant work experience, who are seeking advanced planning study. Applicants must also have professional experience working directly in the field of planning, with progressive responsibility of no less than five cumulative calendar years of full-time employment. Note that internship and co-op experience is not counted. Applicants who are provisional or full members of a recognized provincial, state, or national planning institute or regulatory body are strongly encouraged to apply.

Applicants with a four-year undergraduate degree (other than a degree in planning from an accredited program) and an exceptional record of practice directly in planning over an established career of five or more cumulative years may be considered for admission on a case-by-case basis. We encourage these applicants to contact our program office to explore their eligibility.

Internationally Trained Planning Professionals

Internationally trained planning professionals who are Canadian citizens or permanent residents with demonstrated planning knowledge and experience are highly encouraged to apply. Our accredited planning program provides the needed skills and hands-on training to transition and advance applicants� planning careers in the Canadian context. The program of study can be adapted, as needed, for internationally trained planners to gain experience with Canadian urban planning ethics and governance. Applicants are required to demonstrate English language proficiency at the minimum level required by the Yeates School of Graduate Studies if previous education was not instructed in English. You can learn more  from the Graduate Studies Admission Requirements page.  All applicants to our 1-year program must have passed a university-level course in statistics prior to starting the program. Strong applicants who have not yet completed this statistics learning should contact the program to discuss options for completion before applying."
School of Urban and Regional Planning,Urban Development,Admissions,How do I apply for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587426-how-do-i-apply-,"Visit Admissions for Urban Development (MPl) to learn more about:

Admissions requirements
Application deadlines
Application process
Required documents Email gradapplicants@torontomu.ca with your admissions questions."
School of Urban and Regional Planning,Urban Development,Admissions,When should I submit my application for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587448-when-should-i-submit-my-application-,"Admissions typically open in mid-October.

Submit your application by the first consideration deadline to be guaranteed consideration for admission and scholarships.

We�ll notify first consideration applicants of admissions decisions in early March, and will notify all other applicants of an admissions decision on a rolling basis.

We will continue to accept applications until all available spots are filled. *Please be aware that once you have completed the OUAC portion of the application, it can take up to five business days to receive the email containing instructions on how to create your Toronto Metropolitan University identity and upload your supplementary documents into the system."
School of Urban and Regional Planning,Urban Development,Admissions,I completed my bachelor’s degree at a college. Can I apply for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587468-i-completed-my-bachelor-s-degree-at-a-college--can-i-apply-,"Yes. Generally, we accept degrees from any degree-granting institution and look at applications on a case-by-case basis."
School of Urban and Regional Planning,Urban Development,Admissions,I am not sure whether I’m eligible for the One-year Accelerated Stream for for  urban planning program,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587492-i-am-not-sure-whether-i-m-eligible-for-the-one-year-accelerated-stream--,"Review the admissions requirements to determine your eligibility. If you think that you are qualified for the One-year Accelerated Stream, then please apply for that program. If the admissions committee decides that you are ineligible, then they will automatically consider you for the Two-year Regular Stream."
School of Urban and Regional Planning,Urban Development,Admissions,Do I need to take the GMAT and/or GRE for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587521-do-i-need-to-take-the-gmat-and-or-gre-,"No, neither is required for the Urban Development (MPl) program."
School of Urban and Regional Planning,Urban Development,Admissions,What can be counted towards the statistics course requirement for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587571-what-can-be-counted-towards-the-statistics-course-requirement-,"If you have completed a statistics course, the course will be recorded on your official transcript(s). If you are unsure, please submit the course description, course outline, course code and name of the university of study for your course to be evaluated."
School of Urban and Regional Planning,Urban Development,Admissions,Can I apply without a statistics course for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587621-can-i-apply-without-a-statistics-course-,"Yes. If you are accepted, you will be given a conditional offer which states that you have to complete the statistics course before starting the program. If you do not complete the statistics course before beginning the program, your offer will be revoked."
School of Urban and Regional Planning,Urban Development,Admissions,How do you calculate my GPA for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587644-how-do-you-calculate-my-gpa-,Visit Calculating Your GPA for more information.
School of Urban and Regional Planning,Urban Development,Admissions,Do I request a supervisor when I apply for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587667-do-i-request-a-supervisor-when-i-apply-,"The selection and assignment of your supervisor will take place when the topic of your Major Research Paper/Project (MRP) is determined (typically in your second year)..When you apply online, the OUAC site will ask you to identify a supervisor. This is not a mandatory field and you should leave it blank. We ask you to please not contact our SURP faculty members by email to ask about potential supervision or research assistant opportunities. Both of these will become available if you are offered a position in the program."
School of Urban and Regional Planning,Urban Development,Admissions,When are admissions decisions released for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587697-when-are-admissions-decisions-released-,Admissions decisions typically begin in mid- to late-February and continue until the program is filled..Each planning school in Ontario has its own timeline and process. All of our admissions offers are time-limited. There is no coordinated offer of admission date which means that you may receive an offer from one school and have to make a decision before hearing from others.
School of Urban and Regional Planning,Urban Development,Admissions,I don’t know how to use the software programs. Will we get training for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587717-i-don-t-know-how-to-use-the-software-programs--will-we-get-training-,"Although you are not required to be proficient in using a specific software package, it is beneficial to have working knowledge of Microsoft Office and Adobe Creative Suite (PDF maker, Photoshop, Illustrator)."
School of Urban and Regional Planning,Urban Development,Admissions,How many students do you accept each year for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587750-how-many-students-do-you-accept-each-year-,"We enrol approximately 35 students each year, which means that we have about 70 students enrolled in the program at any time."
School of Urban and Regional Planning,Urban Development,Admissions,Can I discuss my application with someone for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587770-can-i-discuss-my-application-with-someone-,"Almost all of your questions can be answered by reading the material we recommend in the FAQs above and by watching our admissions video. If you have further questions, please email the graduate program administrator."
School of Urban and Regional Planning,Urban Development,Admissions,I wasn’t accepted. Can I meet with someone to discuss my application for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279587803-i-wasn-t-accepted--can-i-meet-with-someone-to-discuss-my-application-,"We are lucky to have a large number of qualified applicants each year. While we understand that it is disappointing to not be accepted, we have a firm policy that no one from our program will meet to discuss unsuccessful applications."
