Department,Sub_Department,Topic,question_name,question_url,question_answer_1_name,question_answer_2_name,question_answer_3_name
Computing and Communications Services,Google Workspace,Google Mail ,Inbox Space,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637245683-inbox-space,"Your account has unlimited storage. You'll probably never run out of space. In fact, a heavy email user who sends and receives lots of file attachments and archives all messages might use up to 5% of this space a year (usually less), so it would take decades to use up all of the available space. Also note that Google Apps restricts the size of file attachments to 20 MB, so you don't have to worry about a few large files using up your storage space.",,
Computing and Communications Services,Google Workspace,Google Mail ,Keyboard Shortcuts,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637275739-keyboard-shortcuts,"Gmail includes a full set of keyboard shortcuts. First, you must enable keyboard shortcuts:In the upper-right corner of the Mail window, click Settings.
Under Keyboard shortcuts, select Keyboard shortcuts on.
Click Save Settings.Then, to see the shortcuts, press SHIFT+? while viewing your list of messages in the main Mail window.",,
Computing and Communications Services,Google Workspace,Google Mail ,Shared Mailboxes,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637300053-shared-mailboxes,"Gmail does not really support shared mailboxes. But as a workaround, you can create your own mailing list (called a ""group"") for all the employees who want to share an email address. This requires that your administrator has enabled User-Managed groups for your domain. If user-managed groups aren't available, then you should ask your Google Apps administrator to set up a mailing list (group) for all the employees who want to share an email address.Or if email delegation is enabled for your domain, you can use that to allow up to 10 other users access a single email account.",,
Computing and Communications Services,Google Workspace,Google Mail ,Sharing One's Email With Another Employee,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637308516-sharing-one-s-email-with-another-employee,"Shared mailboxes aren't supported. However, you can easily set up an email filter (rule) to forward specific types of messages to another employee.",,
Computing and Communications Services,Google Workspace,Google Mail ,Making Gmail My Default Email Program,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637330077-making-gmail-my-default-email-program,"If Google Talk is enabled for your domain, you can make Gmail the default email program when I click links. In that case, specify Gmail as your default email program as follows:Open Google Talk.
Click Settings in the upper-right corner of your contacts list.
In the General dialog box, select Open Gmail when I click on email links.
Click OK.Note, however, that this setting doesn't work for all email links.",,
Computing and Communications Services,Google Workspace,Google Mail ,Replying / Forwarding A Single Message,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497639813270-replying---forwarding-a-single-message,"You can reply to or forward just a single message in a conversation. Open the conversation and expand the individual message. From the drop-menu at the top-right of the message, click Reply or Forward.",,
Computing and Communications Services,Google Workspace,Google Mail ,Deleting A Message From A Conversation,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497639830752-deleting-a-message-from-a-conversation,"You can delete one or more messages in a conversation as follows:Open the conversation and expand the message you want to delete.
Open the drop-menu at the top-right of the message.
Select Delete this message.",,
Computing and Communications Services,Google Workspace,Google Mail ,Opening a Message in a Separate Window,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497639940845-opening-a-message-in-a-separate-window,"Yes, if your browser is set to display pop-ups in a new window, you can do the following:If you're reading a message, click the New Window icon in the upper-right corner of the message.
If you're composing a new message, click the New Window icon in the upper-right corner of the message.",,
Computing and Communications Services,Google Workspace,Google Mail ,Spell-Checking Messages,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497639968332-spell-checking-messages,Click Check Spelling at the top of the message you're composing. Misspelled words are highlighted in yellow. Click a misspelled word to see suggested corrections.,,
Computing and Communications Services,Google Workspace,Google Mail ,Automatic Vacation Response,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497640033119-automatic-vacation-response,"Please see the following Google Support page
(external link, opens in new window)
(click on the link).",,
Computing and Communications Services,Google Workspace,Google Mail ,Stop Messages From Being Grouped Together,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497640052615-stop-messages-from-being-grouped-together,"Yes. Click Settings in the upper-right corner of your Gmail window and, on the General tab, scroll down to Conversation View.If Conversation View is off, new messages won't be grouped into conversations, and any existing conversations are ungrouped into separate messages.
If Conversation View is on, you can't separate the messages in a conversation. However, if you want to send a reply but don't want it to be added to the conversation, you can simply change the subject line in your reply.",,
Computing and Communications Services,Google Workspace,Google Mail ,"Marking Messages As ""Unread""",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497640391055-marking-messages-as--unread-,"Select the message. Then, in the More drop-down list, select Mark as unread.",,
Computing and Communications Services,Google Workspace,Google Mail ,Recalling Sent Messages,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497640455810-recalling-sent-messages,"Yes, Gmail Labs has an early version of a new ""message undo"" feature that lets you recall a message within a few seconds after you send it. To enable the feature, open your Gmail Settings, go to the Labs tab, and enable the Undo Send lab.Note that your Google Apps administrator must enable Labs for your domain for this feature to be available.",,
Computing and Communications Services,Google Workspace,Google Mail ,Attaching a File to a Message,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497884807873-attaching-a-file-to-a-message,"In a Chrome browser, you can drag and drop a file to attach it to a message. Otherwise, you must browse to a file to attach it.",,
Computing and Communications Services,Google Workspace,Google Mail ,Attaching Things to a New Message,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497884815535-attaching-things-to-a-new-message,"You cannot embed one message into another directly. As a workaround, you can do the following:To attach a single message, open it and click Forward (from the drop-menu at the top of the message). To attach a conversation, open it click Forward all on the right.
Then compose your new message and send it. The earlier message will be included below your new message.Alternatively, you can copy the text from the earlier message and paste it into a new message.",,
Computing and Communications Services,Google Workspace,Google Mail ,Copying File Attachments,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497884831944-copying-file-attachments,"Because Gmail is a web-based system, you can't drag a file attachment from one message to another. As a workaround, you can do the following:Open the message or conversation that contains the file attachment.
If the file is attached to a single message, click Forward (from the drop-menu at the top of the message). If it's attached to a message in a conversation, click Forward all on the right.
Delete all the ""forwarded"" content from original messages, which appears at the bottom of your new message. Note that the file attachment remains with the forwarded message.
Then compose your new message and send it.Alternatively, you can download the attachment and then upload it to another message.",,
Computing and Communications Services,Google Workspace,Google Mail ,Size & Type Limitations on File Attachments,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497884845663-size---type-limitations-on-file-attachments,"To help prevent viruses, Gmail won't accept file attachments that are executable files. There's also a 20 MB size limitation for attachments. For details, see the external,Gmail Help Center.
(external link)",,
Computing and Communications Services,Google Workspace,Google Mail ,Organizing Messages Without Folders,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497885148142-organizing-messages-without-folders,"Instead of folders, Gmail has a ""labels"" feature. Labels are similar to folders, but are more powerful and flexible, because you can add multiple labels to a message to categorize it in several ways. For details, see the Gmail Help Center
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,Creating Labels,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497885158062-creating-labels,You can create up to about 200 labels.,,
Computing and Communications Services,Google Workspace,Google Mail ,Applying Multiple Labels to an E-mail,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497885193241-applying-multiple-labels-to-an-e-mail,"You can apply any number of labels to a message: Select the message in your Inbox, or open it, and select one or more labels in the Labels drop-down list at the top of your Mail window.",,
Computing and Communications Services,Google Workspace,Google Mail ,Nestling Labels,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497885233594-nestling-labels,"You can create nested or subfolders under other folders. For more details see Create a label
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,Deleting Labels,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497885297022-deleting-labels,Deleting a label does not delete the messages that have that label. All it does is remove the label from the messages.,,
Computing and Communications Services,Google Workspace,Google Mail ,Switching Labels In The Web Interface,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497885326766-switching-labels-in-the-web-interface,"At this time, it is not possible to move messages from ""Sent Mail"" to another label in the web interface. One possible solution is to set up your account with a desktop email client such as Microsoft Outlook or Thunderbird, and move your messages around within it. You can find more information about setting up Outlook and Thunderbird at https://www.torontomu.ca/google/usingapps/viaemailclient.html.",,
Computing and Communications Services,Google Workspace,Google Mail ,Deleting A Message Vs. Archiving It,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497886301871-deleting-a-message-vs--archiving-it,"Deleting or archiving a message removes it from your inbox. If you delete a message, it's placed in the Trash and then permanently removed from your Google Apps account after 30 days. If you archive a message, it's moved to All Mail (your archive), where you can easily find it in the future, using Google's powerful search feature. Since you have plenty of space (unlimited) for storing all your mail, we recommend that you archive messages rather than permanently deleting them.",,
Computing and Communications Services,Google Workspace,Google Mail ,Messages Staying in the Archive,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497886320800-messages-staying-in-the-archive,"Messages remain in your archive forever, unless you choose to delete them.",,
Computing and Communications Services,Google Workspace,Google Mail ,Messages in the Trash,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497886345977-messages-in-the-trash,"Messages remain in the Trash for 30 days. After that, Gmail permanently deletes them.",,
Computing and Communications Services,Google Workspace,Google Mail ,Moving Messages Out of the Trash,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497886948706-moving-messages-out-of-the-trash,"Find the message in the Trash and select it. Then, in the Move to drop-down list at the top of the Mail window, select Inbox.",,
Computing and Communications Services,Google Workspace,Google Mail ,Archived or Deleted Messages Appearing In One's Inbox,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497886966626-archived-or-deleted-messages-appearing-in-one-s-inbox,"If someone replies to a message you archived or trashed, that message reappears in your Inbox as a conversation, bringing the message you archived or deleted, with it. If the message has already been permanently deleted from the Trash, you'll see an option at the bottom of the message to view the deleted messages in the conversation.",,
Computing and Communications Services,Google Workspace,Google Mail ,Benefits of Deleted Vs. Archived Messages,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497887286642-benefits-of-deleted-vs--archived-messages,"There's no need to delete or archive messages in the Sent folder. Messages remain in this folder forever, unless you delete them. But, because you have unlimited combined storage space, you can keep messages in this folder to refer to them later, if needed. Also, note that messages in the Sent folder are actually archived in All Mail, so even if you archive these messages, they stay in the Sent folder.",,
Computing and Communications Services,Google Workspace,Google Mail ,Apple Devices & Google Sync,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497887002396-apple-devices---google-sync,"When you ""delete"" a message from your Apple mobile device, by default, it will archive the message but NOT put it in the Trash as you might expect. Please see Advanced Option: How to use iOS Delete Settings with Google Sync for more information.",,
Computing and Communications Services,Google Workspace,Google Mail ,Forwarding TMU Gmail to a POP Account,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497887997672-forwarding-tmu-gmail-to-a-pop-account,,,
Computing and Communications Services,Google Workspace,Google Mail ,Importing Contacts From External Gmail Accounts,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497888001210-importing-contacts-from-external-gmail-accounts,,,
Computing and Communications Services,Google Workspace,Google Mail ,Logging Into & Managing Generic Accounts,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497888153726-logging-into---managing-generic-accounts,,,
Computing and Communications Services,Google Workspace,Google Mail ,Not Seeing Messages Sent to Mailing Lists,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497888171158-not-seeing-messages-sent-to-mailing-lists,,,
Computing and Communications Services,Google Workspace,Google Mail ,Can I make Gmail the default email program when I click email links?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495554852355-can-i-make-gmail-the-default-email-program-when-i-click-email-links-,"Yes, if Google Talk is enabled for your domain. In that case, specify Gmail as your default email program as follows:

Open Google Talk.
Click Settings in the upper-right corner of your contacts list.
In the General dialog box, select Open Gmail when I click on email links.
Click OK.Note, however, that this setting doesn't work for all email links.",,
Computing and Communications Services,Google Workspace,Google Mail ,I have a secondary account. Do I have to move it to Gmail too?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030720913-i-have-a-secondary-account--do-i-have-to-move-it-to-gmail-too-,"No you do not, although you can if you like. The migration of your primary account will in no way affect your secondary account.",,
Computing and Communications Services,Google Workspace,Google Mail ,I see advertisements scrolling at the top of my Inbox. Can I remove them?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030718586-i-see-advertisements-scrolling-at-the-top-of-my-inbox--can-i-remove-them-,"These are not actually advertisements, but are referred to by Google as “Web Clips”. You can remove them as follows: Click the gear icon at the top right of your screen and select “Settings.” Go to the “Web Clips” tab on your Settings page and uncheck “Show my web clips above the Inbox.”",,
Computing and Communications Services,Google Workspace,Google Mail ,"I originally opted into Gmail, but now I want to opt out of it. Can I do this on my own or does CCS have to do it for me?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030754587-i-originally-opted-into-gmail--but-now-i-want-to-opt-out-of-it--can-i-do-this-on-my-own-or-does-ccs-have-to-do-it-for-me-,You can opt out of TMU’s Gmail provided you have a strong case for it. Provide your reason in an email request to 'help@torontomu.ca' and your case will be handled at an individual basis.,,
Computing and Communications Services,Google Workspace,Google Mail ,I don't want to move to Gmail. What are my options?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030694058-i-don-t-want-to-move-to-gmail--what-are-my-options-,"Students and faculty can choose between using Gmail or RMail, TMU’s legacy internal email system. They will be asked via a prompt when they log into my.torontomu.ca once we are ready to collect opt-ins. This decision can be changed in the my.torontomu.ca self-serve up until we go live with Google. For those Faculty and Student's thinking about not opting-in, we should point out that users may find that RMail has limited storage and less functionality than Gmail. You will also have a difficult time sending Google calendar invites to RMail users. While you can receive event invitations in RMail, you can not accept a calendar invite. You will have to log into your Google Calendar to access all calendaring features. By default everyone will be given access to a Google Calendar, Google Drive and Google Docs.",,
Computing and Communications Services,Google Workspace,Google Mail ,I currently have my RMail forwarded to a POP email account. How do I set up my new TMU Gmail account to forward email to my POP account?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495554870932-i-currently-have-my-rmail-forwarded-to-a-pop-email-account--how-do-i-set-up-my-new-tmu-gmail-account-to-forward-email-to-my-pop-account-,Visit our email client set up page for instructions https://www.torontomu.ca/google/usingapps/viaemailclient.html,,
Computing and Communications Services,Google Workspace,Google Mail ,"I use a desktop mail client such as Microsoft Outlook, Thunderbird, Apple Mail, etc.",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030694674-i-use-a-desktop-mail-client-such-as-microsoft-outlook--thunderbird--apple-mail--etc-,"If you prefer to use a desktop (AKA a ""thick client"") email program such as Microsoft Outlook, Thunderbird, Apple Mail, etc., please check the instructions for supported IMAP clients hereTMU will not be migrating users’ desktop email clients (such as Outlook and Thunderbird) to Google. However, Google offers a migration tool that you can download to help you migrate desktop email clients independently. You can download the migration tool here:
https://tools.google.com/dlpage/outlookmigration
(external link)
You can also use GMail Loader to help you through this process: http://www.marklyon.org/gmail/
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,"I was told that in the new TMU Gmail, we would only be able to do busy searches for individuals who have granted us access to their calendar. Is there any plan to implement functionality where you can do a busy search for all faculty and staff?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030720098-i-was-told-that-in-the-new-tmu-gmail--we-would-only-be-able-to-do-busy-searches-for-individuals-who-have-granted-us-access-to-their-calendar---is-there-any-plan-to-implement-functionality-where-you-can-do-a-busy-search-for-all-faculty-and-staff-,"Yes. This new functionality is already since Oct. 9, 2012.",,
Computing and Communications Services,Google Workspace,Google Mail ,I've heard Gmail search is really powerful. How does it work?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495554841964-i-ve-heard-gmail-search-is-really-powerful--how-does-it-work-,"To search for messages, type a word that the messages contain. Note, however, that Search matches ""whole words"" only�that is, it doesn't recognize partial or similar matches. For example, if you search for benefits, Search won't find benefit or benef. Also, Search doesn't recognize special search characters, such as square brackets, parentheses, currency symbols, the ampersand, the pound sign, and asterisks.

By default, Search doesn't look in your Trash or Spam folders. To search those folders also, click Show search options next to the Search field, and then, in the Search drop-down list, select Mail & Spam & Trash. You can find more information about using Search in the Gmail Help Center.A list of the advanced search operators is available in the Gmail Help Center
(external link)
. You can also print out
(PDF file)
this reference sheet
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,I already have a personal Gmail account. Can I log into both my TMU and personal GMail accounts at the same time?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030696242-i-already-have-a-personal-gmail-account--can-i-log-into-both-my-tmu-and-personal-gmail-accounts-at-the-same-time-,"Toronto Metropolitan University has signed a contract with Google and is using the Google Apps For Education edition. This is different from the consumer version that your personal email account is set up on. This educational version will not do any data mining, or present you with advertisements. When you are logged into your TMU Google apps account on the web interface, you will see TMU branding at the top of the page.That being said, there are several ways you can log into both accounts. For instructions on how to do this go to:https://mail.google.com/support/bin/answer.py?hl=en&answer=69570
(external link)
. However, the easiest way to prevent confusion is to open up multiple browsers (Firefox and Chrome, I.E. etc.) to log into different accounts.",,
Computing and Communications Services,Google Workspace,Google Mail ,I already forward my TMU mail to an existing personal Gmail account. Can I forward my new TMU Gmail to this current Gmail account?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030719577-i-already-forward-my-tmu-mail-to-an-existing-personal-gmail-account--can-i-forward-my-new-tmu-gmail-to-this-current-gmail-account-,Visit our email client set up page for instructions https://www.torontomu.ca/google/usingapps/viaemailclient.html,,
Computing and Communications Services,Google Workspace,Google Mail ,I’m a staff member at TMU. I was migrated over to Gmail without ever being asked if I wanted to opt into it - I thought we would be given the choice to either opt in or stay with Rmail?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030753435-i-m-a-staff-member-at-tmu--i-was-migrated-over-to-gmail-without-ever-being-asked-if-i-wanted-to-opt-into-it---i-thought-we-would-be-given-the-choice-to-either-opt-in-or-stay-with-rmail-,"Only certain users, primarily current instructors and students, have the option to not opt into TMU Gmail. If you are a staff member who does not fall into either category, you will be automatically opted into TMU Gmail. As such, you were not prompted to opt-in.",,
Computing and Communications Services,Google Workspace,Google Mail ,How do I opt-in for TMU Gmail?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030692089-how-do-i-opt-in-for-tmu-gmail-,"Only certain users, primarily current instructors and students, have the option to not opt into TMU Gmail. If you are a staff member who does not fall into either category, you will be automatically opted into TMU Gmail. As such, you were not prompted to opt-in.",,
Computing and Communications Services,Google Workspace,Google Mail ,How do I add a profile photo to my TMU Gmail account?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030697298-how-do-i-add-a-profile-photo-to-my-tmu-gmail-account-,"To upload an image for your Gmail account:Click the gear in the top Gmail navigation bar.
Select Mail settings.
Make sure you're on the General tab.
Click Select a picture under My picture.
To use an image from your computer:
Make sure My Computer is selected on the left.
Use the Browse... or Choose file... button to select the desired image",,
Computing and Communications Services,Google Workspace,Google Mail ,"Once the migration to Google happens, will I still be able to access my email through my Microsoft Outlook account on my desktop?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495554858348-once-the-migration-to-google-happens--will-i-still-be-able-to-access-my-email-through-my-microsoft-outlook-account-on-my-desktop-,"Yes, you will be able to use outlook to access TMU GMail. You can also use the Google Apps Sync tool (https://tools.google.com/dlpage/gappssync
(external link)
) to help you access not only TMU Gmail, but also Google Calendar, your contacts and more through Outlook. This tool allows you to sign onto your Outlook and Google Apps once, as opposed to signing in multiple times. Visit TMU's Email Client Set Up page for more details as well.",,
Computing and Communications Services,Google Workspace,Google Mail ,Will my email address change?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497030693154-will-my-email-address-change-,"No, your @ryerson.ca email address will remain unchanged after you have switched to Gmail. Once you make the switch over to Gmail, you will also have single sign-on access to the my.torontomu portal, so you won’t have to log in to various TMU systems multiple times. Your email address also won’t change if you choose not to opt-in to use Gmail (faculty and staff only), however all your mail will be delivered to your RMail account.",,
Computing and Communications Services,Google Workspace,Google Mail ,Why do I not see messages sent to mailing lists in my Inbox?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495554914975-why-do-i-not-see-messages-sent-to-mailing-lists-in-my-inbox-,"When you send mail to any mailing list you own or are subscribed to, Gmail automatically skips your inbox and archives the message to save you time and prevent clutter. The message will appear in your inbox if someone responds to it or if there is an error delivering the message. If you would like to view your message, you can find it in Sent Mail or All Mail.",,
Computing and Communications Services,Google Workspace,Google Mail ,What do I have to do to my Rmail account to prepare for the migration?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497363899463-what-do-i-have-to-do-to-my-rmail-account-to-prepare-for-the-migration-,"Rmail will not be moved to Gmail, but please keep in mind that IMAP/POP3/Web access will be disabled for those who are migrated to GMail so that people won't accidentally access it and send emails from RMail. Please also note that If you forward all your RMail to GW and also store a copy in your RMail, you may want to clean up RMail to cut down the migration time for your RMail to Gmail and to avoid duplicates from RMail after migration. Here’s list of all things that you must do, should do and things that will not migrate.",,
Computing and Communications Services,Google Workspace,Google Mail ,"While changing the names of my folders in RMail to make sure they migrate to Google properly, I noticed that a few of my folder names seem to be locked by Rmail. What should I do?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497363904765-while-changing-the-names-of-my-folders-in-rmail-to-make-sure-they-migrate-to-google-properly--i-noticed-that-a-few-of-my-folder-names-seem-to-be-locked-by-rmail--what-should-i-do-,"Move your subfolders out of the locked folders and into new folders, then deleted the locked folders.",,
Computing and Communications Services,Google Workspace,Google Mail ,Will the Trash folder be migrated?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497363905302-will-the-trash-folder-be-migrated-,"The trash folder will NOT migrate, so make sure to move all important mail out of the Trash folder. Please note that the Trash folder in your new TMU Gmail account will automatically be purged every 30 days.",,
Computing and Communications Services,Google Workspace,Google Mail ,"I use a secondary, generic TMU email as well. Will that be migrated to Google too?",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497363906101-i-use-a-secondary--generic-tmu-email-as-well--will-that-be-migrated-to-google-too-,"Yes, generic email accounts are also getting the whole “Google” package, including email, calendar, Google Drive, etc. But you, as the owner of this account, must manually opt-in to migrate your generic account How to do this: log into my.torontomu.ca with your own personal credentials Click on “Manage My Resources,” then “Manage TMU GMail Opt In Preference for Generic Accounts.” From there you can opt in to move your generic account(s) over to Google.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I reply to or forward just a single message in a conversation?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555122585-can-i-reply-to-or-forward-just-a-single-message-in-a-conversation-,"Yes. Open the conversation and expand the individual message. From the drop-menu at the top-right of the message, click Reply or Forward.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I delete a message from a conversation?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555137518-can-i-delete-a-message-from-a-conversation-,"Yes, you can delete one or more messages in a conversation as follows:Open the conversation and expand the message you want to delete.
Open the drop-menu at the top-right of the message.
Select Delete this message.",,
Computing and Communications Services,Google Workspace,Google Mail ,Can I open a message in a separate window from my main Mail window?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555143102-can-i-open-a-message-in-a-separate-window-from-my-main-mail-window-,"Yes, if your browser is set to display pop-ups in a new window, you can do the following:If you're reading a message, click the New Window icon in the upper-right corner of the message.
If you're composing a new message, click the New Window icon in the upper-right corner of the message.",,
Computing and Communications Services,Google Workspace,Google Mail ,How can I spell-check a message I write?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495555174263-how-can-i-spell-check-a-message-i-write-,Click Check Spelling at the top of the message you're composing. Misspelled words are highlighted in yellow. Click a misspelled word to see suggested corrections.,,
